corrupt;yozlaşmış
trace program;iz programı
trace;iz
traceable;izlenebilir
tracer;izleyici
trachea;nefes borusu
tracheal;trakea
tracheitis;soluk borusu iltihabı
tracheotomy;nefes borusu ameliyatı
trachoma;trahom
trachomatous;trahomlu
trachyte;trakit
tracing cloth;tracing bez
tracing paper;kopya kâğıdı
tracing;izleme
track address;iz adresi
track and field;Atletizm
track angle;iz açısı
track bolt;iz cıvata
track circuit;iz devre
track down;izini
track laying;iz döşeme
track pad;parça yastık
track rod;takip çubuğu
track roller;palet makarası
track scales;kamyon kantarları
track shoe;koşu ayakkabısı
track;Izlemek
track-type loader;paletli yükleyici
track-type tractor;paletli traktör
tracked;izlenen
tracker;takipçi
tracking station;izleme istasyonu
tracking;izleme
trackless;izsiz
tracksuit;eşofman
tract;sistem
tractable;uysal
traction battery;çekiş pil
traction;çekiş
tractive force;çekiş kuvveti
tractive power;çekiş gücü
tractive;çekiş
tractor plough;traktör pulluk
tractor tyre;traktör lastiği
tractor;traktör
trade acceptance;ticaret kabulü
trade agreement;Ticaret anlaşması
trade association;Ticaret Birliği
trade balance;Ticaret dengesi
trade bank;ticaret bankası
trade barriers;Ticaret engelleri
trade bill;ticaret faturası
trade cycle;ticaret döngüsü
trade deficit;Ticaret açığı
trade directory;ticaret rehberi
trade discount;ticaret indirim
trade fair;fuar
trade gap;ticaret açığı
trade in;ticaret
trade investment;ticari yatırım
trade mark;marka
trade name;ticari unvan
trade price;toptan fiyatı
trade register;ticaret sicil
trade restrictions;Ticaret kısıtlamaları
trade route;Ticaret rotası
trade sale;ticaret satışı
trade school;Ticaret Okulu
trade secret;meslek sırrı
trade show;Fuar
trade symbol;ticari simge
trade union;Ticaret Birliği
trade unionism;sendikacılığı
trade unionist;sendikacı
trade value;ticari değer
trade wind;alize rüzgârı
trade;Ticaret
trademark;marka
trader;tüccar
tradesman;esnaf
trading account;ticari hesap
trading area;Ticaret Alanı
trading capital;döner sermaye
trading company;Ticaret şirketi
trading credit;ticaret kredi
trading profit;ticari kazanç
trading stamp;ticaret damga
trading;ticari
tradition;gelenek
traditional;geleneksel
traditionalist;gelenekçi
traditionally;geleneksel
traduce;çamur atmak
traffic accident;Trafik kazası
traffic capacity;trafik kapasitesi
traffic congestion;trafik sıkışıklığı
traffic density;Trafik yoğunluğu
traffic flow;Trafik akışı
traffic in;trafik içinde
traffic island;trafik adası
traffic jam;trafik sıkışıklığı
traffic lane;trafik şeridi
traffic light;trafik ışığı
traffic lights;trafik ışıkları
traffic line;trafik hattı
traffic load;yoğun trafik
traffic manager;trafik Müdürü
traffic noise;trafik gürültüsü
traffic offence;trafik suçu
traffic police;trafik polisi
traffic roundabout;dolambaçlı yol
traffic rule;trafik kuralı
traffic sign;trafik işareti
traffic signal;trafik işareti
traffic signs;trafik işaretleri
traffic stream;trafik akışı
traffic volume;Trafik yoğunluğu
traffic;trafik
trafficator;Trafficator
trafficker;kaçakçı
tragacanth;kitre
tragedian;trajedi yazarı
tragedienne;trajedi aktrisi
tragedy;trajedi
tragic;trajik
tragicomedy;trajikomedi
trail one's coat;aranmak
trail;iz
trailer coupling;Römork bağlantısı
trailer;tanıtım videosu
trailing axle;arka dingil
train ferry;tren feribot
train oil;balina yağı
train on;eğitmek
train station;tren istasyonu
train upon;üzerine eğitmek
train;tren
trained nurse;eğitimli hemşire
trained;eğitilmiş
trainee;stajyer
trainer;eğitimci
training camp;Eğitim Kampı
training center;Eğitim Merkezi
training plane;eğitim uçağı
training ship;Eğitim gemisi
training;Eğitim
trait;kişisel özellik
traitor;hain
trajectory;Yörünge
tram silk;tramvay ipek
tram;tramvay
tramcar;tramvay
tramline;tramvay hattı
trammel;elipsograf
trammer;trammer
tramming;tramming
tramontane;dağların ardındaki
tramp;serseri
trample;ezmek
trampoline;trambolin
tramway;tramvay hattı
trance;trans
tranche;dilim
trank;sakinleştirici
tranquil;sakin
tranquillity;huzur
tranquillize;teskin etmek
tranquillizer;sakinleştirici
trans-;trans
transact;muamele görmek
transaction file;işlem dosyası
transaction record;işlem kaydı
transaction;işlem
transatlantic;transatlantik
transceiver;telsiz
transcend;aşmak
transcendency;Transcendency
transcendent;üstün
transcendental;transandantal
transcendentalism;Aşkınsalcılık
transcontinental;kıtalararası
transcribe;uyarlamak
transcriber;transcriber
transcript;Transcript
transcription;transkripsiyon
transducer;güç çevirici
transect;transect
transection;transeksiyon
transept;haç şeklindeki kilisenin yan kolları
transfer bank;havale yapılan banka
transfer book;aktarma defteri
transfer by judgement;yargı tarafından transferi
transfer by law;kanunla transferi
transfer case;Transfer kutusu
transfer command;aktarma komutunu
transfer commission;havale komisyonu
transfer current;aktarım akımı
transfer deed;devir senedi
transfer fee;transfer ücreti
transfer gear;aktarma dişlisi
transfer of foreign exchange;döviz transferi
transfer tax;devir vergisi
transfer ticket;aktarmalı bilet
transfer;Aktar
transferable;transfer edilebilir
transferee;devralan
transference;transfer
transferor;devreden
transferred charge call;transfer şarj çağrı
transferrer;transferrer
transferring bank;transfer banka
transfiguration;başkalaşım
transfigure;yüceltmek
transfinite;sonluötesi
transfix;mıhlamak
transform;dönüştürmek
transformation;dönüşüm
transformational grammar;dönüşümsel dilbilgisi
transformational;dönüşümcü
transformationalism;transformationalism
transformationalist;transformationalist
transformer oil;transformatör yağı
transformer;transformatör
transfuse;aşılamak
transfusion;kan nakli
transgress;çiğnemek
transgression;günah
transgressor;günahkâr
transhumance;yaylacılık
transhumant;transhumant
transience;geçicilik
transiency;geçicilik
transient current;geçici akım
transient error;geçici hata
transient state;geçici devlet
transient;geçici
transiently;geçici
transistor ignition;transistör ateşleme
transistor radio;Transistör radyo
transistor;transistor
transistorize;transistor kullanmak
transistorized;transistörlü
transit lounge;Transit salon
transit time;transit zamanı
transit trade;Transit ticaret
transit visa;transit vize
transit;transit
transition card;geçiş kartı
transition element;geçiş elemanı
transition metal;Geçiş metali
transition period;Geçiş dönemi
transition point;geçiş noktası
transition;geçiş
transitional;geçiş
transitive expression;Geçişli ifadesi
transitive verb;geçişli fiil
transitive;geçişli
transitivity;geçişlilik
transitoriness;geçiciliktir
transitory income;geçici gelir
transitory;geçici
translatable;çevrilebilir
translate;Çevirmek
translation bureau;çeviri bürosu
translation;çeviri
translator;çevirmen
transliterate;başka dilde yazmak
transliteration;başka alfabeyle yazma
translocate;yerini değiştirmek
translucence;translucence
translucent;yarı saydam
translunar;translunar
transmarine;denizaşırı
transmigrant;transmigrant
transmigrate;başka yere yerleşmek
transmigration;hicret
transmissible;nakledilebilir
transmission belt;transmisyon kayışı
transmission box;iletim kutusu
transmission brake;iletim fren
transmission chain;transmisyon zinciri
transmission gear;transmisyon dişlisi
transmission level;iletim seviyesi
transmission speed;iletim hızı
transmission system;iletim sistemi
transmission;transmisyon
transmit;iletmek
transmittance;geçirgenliği
transmitter;verici
transmitting antenna;verici anten
transmitting microphone;iletilmesi mikrofon
transmitting station;verici istasyon
transmogrify;şeklini değiştirmek
transmutable;transmutable
transmutation;dönüşüm
transmute;dönüştürmek
transnational;uluslararası
transoceanic;okyanusötesi
transom window;vasistas pencere
transom;travers
transparency;şeffaflık
transparent paper;şeffaf kağıt
transparent;şeffaf
transpiration;terleme
transpire;sızmak
transplant;nakli
transplantation;transplantasyon
transplanter;fide
transport documents;taşıma belgeleri
transport expenses;Nakliye giderleri
transport;taşıma
transportable;taşınabilir
transportation tax;nakliyat vergisi
transportation;taşımacılık
transporter;taşıyıcı
transpose;aktarmak
transposer;aktarıcısı
transposition;aktarma
transsexual;transeksüel
transubstantiate;dönüştürmek
transudation;transudation
transude;sızmak
transversal;enine
transverse section;enine kesit
transverse wave;enine dalga
transverse;enine
transvestite;karşı cinse özenen kimse
trap door;sahne kapısı
trap window;tuzak penceresi
trap;tuzak
trapeze;trapez
trapezium;yamuk
trapezoid;yamuk
trapezoidal;ikizkenar yamuk şeklinde
trapped water;tuzağa su
trapper;tuzakçı
trappings;ziynet
trapse;ayağını sürüyerek yürümek
trash;çöp
trashcan;çöp Kutusu
trashiness;değersizlik
trashy;değersiz
trass;tras
trauma;travma
traumatic;travmatik
traumatology;travmatoloji
travail;doğum sancıları
travel agency;seyahat Acentası
travel allowance;yolluk
travel bureau;seyahat acentası
travel expenses;seyahat masrafları
travel from hand to hand;elden ele yolculuk
travel light;seyahat ışığı
travel non-stop;durmadan seyahat
travel through;yoluyla seyahat
travel;seyahat
traveler;gezgin
travellator;yürüyen kaldırım
travelled;seyahat
traveller;gezgin
traveller's cheque;seyahat çeki
travelling crane;hareketli vinç
travelling expenses;Seyahat masrafları
travelling load;seyahat yük
travelling salesperson;seyahat satış elemanı
travelling wave;dalgalar
travelling;seyahat
travelogue;seyahatle ilgili konferans
traversable;çaprazlanabiliyorsa
traverse;çapraz
travertin;traverten
travertine;traverten
travesty;hiciv
trawl line;trol hattı
trawl;trol
trawler;trol teknesi
tray;tepsi
treacherous;hain
treacherousness;treacherousness
treachery;ihanet
treacle;şeker pekmezi
tread down;ayaklarıyla çiğneyecek
tread on sb's corns;sb adlı nasır üzerine basmak
tread on sb's toes;sb adlı ayak bastığın
tread under foot;ayak altında çiğnemek
tread;basamak
treadle;pedal
treason;vatan hainliği
treasure house;hazine dairesi
treasure up;biriktirmek
treasure;hazine
treasurer;veznedar
treasury bill;Hazine bonosu
treasury board;maliye bakanlığı
treasury bond;Hazine bonosu
treasury certificate;banknot
treasury department;Hazine Müsteşarlığı
treasury note;banknot
treasury office;hazine ofis
treasury stocks;hazine stokları
treasury warrant;hazine emri
treasury;hazine
treat of;arasında bir muamele
treat sb like dirt;pislik gibi sb tedavi
treat something as a joke;şaka olarak bir şey tedavisi
treat with tannin;tanen ile tedavi
treat;tedavi etmek
treatise;tez
treatment;tedavi
treaty powers;antlaşma güçler
treaty;antlaşma
treble control;tiz kontrolü
treble;üç kat
tree age;ağaç yaş
tree breeding;ağaç ıslahı
tree class;ağaç sınıfı
tree classification;ağaç sınıflandırması
tree frog;ağaç kurbağası
tree limit;ağaç sınırı
tree line;ağaç hattı
tree of life;hayat Ağacı
tree pipit;ağaç pipit
tree sparrow;ağaç serçesi
tree volume;ağaç hacmi
tree;ağaç
treeless;ağaçsız
treenail;kavela
trefoil arch;yonca kemer
trefoil;yonca
trehalose;trehaloz
trek;trek
trellis;kafes
tremble;titreme
trembler;tramblör
trembling;titreyen
tremendous;muazzam
tremendously;müthiş
tremolite;tremolit
tremor;titreme
tremulous;titrek
trench coat;trençkot
trench on;tecâvüz etmek
trench warfare;siper savaşı
trench;hendek
trenchancy;keskinlik
trenchant;keskin
trencher;ekmek tahtası
trencherman;iştahlı kimse
trend in prices;fiyatlarındaki eğilim
trend;akım
trendy;modaya uygun
trepan;delgi
trepidation;dehşet
trespass on;izinsiz girmek
trespass;tecâvüz
trespasser;günahkâr
tress;lüle
tressed;örgülü
trestle table;sehpa masa
trestle;sehpa
trestlework;viyadük
triacid;triasit
triad;üçlü
trial and error;Deneme ve hata
trial balance;mizan
trial flight;deneme uçuşu
trial judge;mahkeme
trial lawyer;duruşma avukatı
trial marriage;deneme evliliği
trial period;deneme süresi
trial;Deneme
triangle of forces;kuvvetlerin üçgen
triangle;üçgen
triangular;üçgen şeklinde
triangulate;üçgen
triangulation;nirengi
Trias;Triyasik dönem
triaxial;triaksial
triazine;triazin
triazone;triazondur
tribal;kabile
tribasic;tribazık
tribe;kabile
tribesman;kabile üyesi
triblet;triblet
tribology;sürtünme bilgisi
triboluminescence;tribolüminesan
tribulation;sıkıntı
tribunal;mahkeme
tribune;tribün
tributary;ırmağa karışan
tribute;haraç
tricar;üç tekerlekli araba
trice;atrice
triceps;üç başlı kas
trichina;trişin
trichinosis;trişinoz
trichloroethylene;Trichloroethylene
trichotomy;üçe bölünme
trichromatic;trichromatic
trichromatism;trichromatism
trick film;hile filmi
trick;hile
trickery;hile
trickiness;aldatıcılık
trickle;damlama
trickster;düzenbaz
tricky;hileli
triclinic;trıklinık
tricolour;üç renkli
tricorn;tricorn
tricot;triko
tricuspid;triküspid
tricycle;üç tekerlekli bisiklet
tricyclic;trisiklik
trident;üç dişli mızrak
tried;denenmiş
triennial;üç yılda bir olan
trifle with;hafife almak
trifle;pandispanyalı tatlı
trifling;önemsiz
trifoliate;üç yapraklı
trifolium;yonca
trifurcate;üç dallı
trigger man;tetik adam
trigger;tetik
triggerfish;triggerfish
triglyph;triglif
trigonometric;trigonometrik
trigonometrical;trigonometrik
trigonometry;trigonometri
trihedral;üç yüzlü
trihedron;trihedron
trilateral;üçlü
trilinear;üç çizgili
trilingual;üç dil bilen
triliteral;üç harfli
trill;ötüş
trilled;trilled
trillion;trilyon
trilobate;üç loplu
trilogy;üçleme
trim;düzeltmek
trimester;üç aylık dönem
trimmer;düzenleyici
trimming machine;frezeleme makinesi
trimming;süsleme
trimorphism;trimorphism
trine;üçlü
trinity;üçlü
trinket;biblo
trinomial;çok terimli
trio;üçlü
triode;triyot
triose;Triosefosfat
trip out;dışarı yolculuk
trip up;çelme takmak
trip;gezi
tripartite;üçlü
tripe;saçmalık
triplane;üst üste üç kanatlı uçak
triple alliance;Üçlü ittifak
triple bond;üçlü bağ
triple jump;üçlü atlama
triple point;üçlü nokta
triple;üçlü
triple-core cable;üç çekirdekli kablo
triple-expansion engine;Üç genişleme motoru
triplet;üçlü
triplex glass;mikalı cam
triplex;üç katlı
triplicate;üç kat
tripod;tripod
Tripoli;Trablus
tripper;turist
tripping;açma
trisaccharide;trisakkarit
trisect;üçe bölmek
trisection;triseksiyon
trismus;trismus
trisyllabic;üç heceli
trite;basmakalıp
triteness;bayatlık
tritium;trityum
tritone;üç sesli parça
triturate;öğütmek
triumph;zafer
triumphal arch;Zafer Kemeri
triumphal procession;zafer alayı
triumphal;zafer
triumphant;muzaffer
triune;bir de üç olan
trivalent;Üç değerlikli
trivia;önemsiz şeyler
trivial;önemsiz
triviality;abeslik
triweekly;üç haftada bir
troat;bağırmak
trocar;trokar
trochanter;trokanter
trochilus;trochilus
trochlea;Trochlea
trochoid;trokoid
troglodyte;ilkel insan
Trojan horse;Truva atı
Trojan;Truva
troll;trol
trolley car;tramvay arabası
trolley jack;arabası jakı
trolley man;arabası adam
trolley wire;tramvay teli
trolley;tramvay
trolleybus;troleybüs
trollop;sürtük
trombone;trombon
trombonist;tromboncu
trommel;Silindir gövdeli
trompe;trompe
trona;trona
troop away;topluca gitmek
troop;birlik
trooper;süvari atı
troops;asker
troopship;asker taşıma gemisi
troostite;trustit
trope;kinaye
trophic;trofik
trophy;ganimet
tropic of Cancer;Yengeç dönencesi
tropic of Capricorn;Oğlak burcu
tropic;dönence
tropical rain forest;tropikal yağmur ormanı
tropical;tropikal
tropics;tropikal kuşak
tropine;tropin
tropism;yönelim
tropopause;tropopause
troposphere;troposfer
trot;tırıs
troth;bağlılık
trotter;paça
trouble shooting;sorun giderme
trouble;sorun
troubled;sıkıntılı
troublemaker;bas BELASI
troubleshooter;gidericisi
troublesome;zahmetli
troublous;sıkıntılı
trough;oluk
trounce;yenmek
troupe;trup
trousered;pantolonlu
trousers;pantolon
trousseau;çeyiz
trout;alabalık
trove;define
trowel;mala
troy;kuyumcu tartısı
truancy;okulu asma
truant;okul kaçağı
truce;ateşkes
truck crane;kamyon vinç
truck driver;kamyon şoförü
truck engine;kamyon motoru
truck farm;bostan
truck farming;kamyon yetiştiriciliği
truck frame;kamyon çerçevesi
truck garden;bostan
truck gardener;bostancı
truck jack;kamyon jakı
truck;kamyon
truckage;taşıma ücreti
trucker;kamyon şoförü
trucking industry;kamyon sanayi
trucking;kamyon
truckle;yaltaklanmak
truculence;zalimlik
truculent;acımasız
trudge;zorla yürümek
true cypress;gerçek selvi
true sun;gerçek güneş
true to type;türünün özelliklerini taşıyan
true to;sadık
TRUE;DOĞRU
true-blue;gerçek mavi
true-life;gerçek hayat
trueborn;doğuştan
truehearted;truehearted
trueness;gerçeklik
truffle;yermantarı
truism;herkesin bildiği gerçek
trull;orospu
truly;gerçekten
trump card;koz
trump up;uydurmak
trump;koz
trumpery;değersiz şey
trumpet;trompet
trumpeter;trompetçi
truncate;kesmek
truncated;budanmış
truncation;kesme
truncheon;cop
trundle;yuvarlanmak
trunk call;şehirlerarası konuşma
trunk hose;kısa bol pantolon
trunk line;ana hat
trunk road;anayol
trunk stream;gövde akışı
trunk;gövde
trunks;mayo
trunnion;top muylusu
truss bridge;çatkılı köprü
truss;demet
trussed beam;kafes kiriş
trust company;güven şirketi
trust deed;vekaletname
trust fund;güvenilir kaynak
trust in;Güvenmek
trust with;ile güven
trust;güven
trustee in bankruptcy;iflas yediemin
trustee in composition;bileşim içinde vekil
trustee process;yediemin süreci
trustee;yediemin
trusteeship;mutemetlik
trustful;güvenen
trustification;tröstleşme
trustiness;sadakât
trustworthiness;güvenilirlik
trustworthy;güvenilir
trusty;güvenilir
truth function;Gerçek şu işlevi
truth value;gerçek değer
truth;hakikat
truthful;doğru sözlü
truthfully;dürüst
truthfulness;doğruluk
try for;için deneyin
try it on;Bunu denemek
try on;denemek
try out;denemek
try sb's patience;sb sabrını denemek
try square;kareyi dene
try;Deneyin
trying;çalışıyor
trypanosome;trypanosome
trypsin;tripsin
trypsinogen;tripsinojen
tryptophan;triptofan
trysail;yan yelken
tryst;buluşma
tsar;çar
tsarina;çariçe
tsetse fly;çeçe sineği
tsetse;çeçe sineği
tsunami;tsunami
tub;küvet
tuba;tuba
tubby;tıknaz
tube clamp;boru kelepçesi
tube mill;tüp değirmen
tube;tüp
tubed tyre;tubed lastik
tubeless tyre;İç lastiksiz lastik
tubeless;tübles
tuber;yumru
tubercle;tüberkül
tubercular;yumrulu
tuberculin;tüberkülin
tuberculosis;tüberküloz
tuberculous;tüberkülozlu
tuberose;sümbülteber
tuberous;yumrulu
tuberous-rooted;yumrulu köklü
tubing;borular
tubular axle;boru şekilli aks
tubular prop;boru şekilli pervane
tubular;boru şeklinde
tubule;borucuk
tuck away;tıka basa doldurmak
tuck in;sokmak
tuck;sokmak
tucker;tıkıştıran
tuckshop;börekçi
Tuesday;Salı
tufa;tüf
tuff;tüf
tuft;püskül
tufted;tepeli
tufting machine;tafting makinesi
tufting;tafting
tug at sb's heartstrings;sb adlı kalbin en römorkör
tug;römorkör
tug-of-war;halat çekme savaş
tugboat;römorkör
tuition;öğretim
tuitional;öğretim ile ilgili
tulip;lâle
tulle;tül
tumble about;çamaşır yaklaşık
tumble down;yıkılmak
tumble drier;çamaşır kurutucu
tumble;takla
tumble-home;çamaşır-ev
tumbledown;yıkık dökük
tumbler drier;tumbler kurutma
tumbler;taklacı
tumbling barrel;yuvarlanan varil
tumefacient;şişiren
tumefaction;kabartı
tumefy;şişmek
tumescent;şişen
tumid;tumturaklı
tummy ache;Mide ağrısı
tummy;karın
tumor;tümör
tumour;tümör
tumult;hengâme
tumultuary;kargaşalı
tumultuous;kargaşalı
tumulus;höyük
tun up trumps;koz kadar tun
tuna;Tuna
tundra climate;tundra iklimi
tundra;tundra
tune in;istasyon bulmak
tune up;akort etmek
tune;melodi
tuned;ayarlanmış
tuneful;ahenkli
tuneless;ahenksiz
tuner;akortçu
tungstate;tungstat
tungsten lamp;tungsten lamba
tungsten;tungsten
tungstic;tungstic
tunic;tünik
tunica;kılıf
tunicate;gömlekli
tunicle;zarfçık
tuning fork;diyapozon
tuning;akort
tunnel effect;tünel etkisi
tunnel furnace;tünel fırın
tunnel vault;tünel tonoz
tunnel;tünel
tunny;orkinos
tup;şahmerdan
tuppence;iki peni
turban;türban
turbaned;sarıklı
turbid;bulanık
turbidimeter;Bulanıklık
turbidimetry;türbidimetri
turbidity;bulanıklık
turbinal;turbinal
turbine;türbin
turbo;turbo
turbocharger;turbo
turbogenerator;turbogenerator
turbojet engine;turbojet motoru
turbojet;turbo jet
turboprop;turboprop
turbot;kalkan
turbulence;türbülans
turbulent;çalkantılı
turd;bok
tureen;çorba kâsesi
turf account;çim hesap
turf out;kovmak
turf;çim
turgescence;şişirme
turgescent;şişkin
turgid;şiş
turgidity;turgidity
turgidness;şişkinlik
Turk;Türk
Turkestan;Türkistan
turkey buzzard;akbaba
turkey cock;baba hindi
Turkey red;kırmızı kök boyası
turkey;Türkiye
Turkish Airlines;Türk havayolları
Turkish Aviation League;Türk Havacılık Lig
Turkish bath;Türk banyosu
Turkish coffee;Türk kahvesi
Turkish delight;Lokum
Turkish oak;Türk meşe
Turkish towel;Türk havlu
Turkish;Türk
Turkism;Türkçülük
turmeric paper;zerdeçal kağıdı
turmeric;Zerdeçal
turmoil;telaş
turn a blind eye to;için görmezden
turn a blind eye;Görmemezlikten gelmek
turn a deaf ear to;kulağını dönüp
turn against;aleyhinize
turn an honest penny;alın teri dökmek
turn aside;sapmak
turn away;geri çevirmek
turn back;geri dön
turn bench;tezgah açmak
turn crimson red with shame;utanç kızıl kırmızı renkte
turn down;kısmak
turn green with envy;Kıskançlıktan yeşile
turn in one's grave;kemikleri sızlamak
turn in;teslim etmek
turn indicator;göstergesini açmak
turn into;dönüşmek
turn off;kapat
turn on one's heels;Kişinin topuklar açmak
turn on the light;ışığı aç
turn on the waterworks;gözyaşı dökmek
turn on;aç
turn one's back on;sırt çevirmek
turn one's stomach;mide bulandırmak
turn one's toes up;Kişinin ayak parmaklarını yukarı çevirmek
turn out;boşaltmak
turn over a new leaf;yeni bir sayfa açmak
turn over to;için ters çevirin
turn over;devir
turn round;döndürmek
turn sb adrift;sb başıboş çevirmek
turn sb over to;sb teslim
turn sb's head;sb kafasını çevirmek
turn sb's stomach;sb mide bulandırmak
turn sth over to;için fiil teslim
turn tail;kuyruk çevirmek
turn the corner;köşeyi dön
turn the knife;bıçağı çevirmek
turn the scales;ölçekler çevirmek
turn the tables on sb;sb tersine çevirmek
turn to;çevirmek
turn traitor;vatana ihanet etmek
turn turtle;alabora olmak
turn up one's nose at;burun kıvırmak
turn up trumps;şansı olmak
turn up;çıkagelmek
turn yellow;sararmak
turn;dönüş
turnable;döner
turnabout;dönek
turnbuckle;turnbuckle
turncoat;dönek
turncock;turncock
turned;dönük
turner;tornacı
turnery;tornacılık
turning chisel;dönüm keski
turning lathe;dönen torna
turning point;dönüm noktası
turning tool;dönüm aracı
turning;döndürme
turnip;Şalgam
turnkey;anahtar teslimi
turnout;boşaltmak
turnover tax;muamele vergisi
turnover;devir
turnpike;paralı yol
turnspit;dönerci
turnstile antenna;turnike anten
turnstile;turnike
turntable;döner tabla
turnup;çıkagelmek
turpentine tree;terebentin ağacı
turpentine;terebentin
turpitude;alçaklık
turps;neft yağı
turquoise;turkuaz
turret lathe;torna tezgâhı
turret;taret
turreted;kuleli
turtle dove;üveyik
turtle;kaplumbağa
turtleback;Turtleback
turtledove;üveyik
turtleneck;balıkçı yaka
tush;sus
tusk tenon;dişi zıvana
tusk;uzun diş
tusker;uzun dişli fil
tussle;mücâdele
tussore;tüsor
tut;cik cik
tutelage;vesayet
tutelary;vesayet
tutor;özel öğretmen
tutorial;öğretici
tutorship;vesayet
tutu;tüt
tux;smokini
tuxedo;smokin
twaddle;zırva
twang;tıngırdamak
twat;dallama
tweak;çimdik
tweed;tüvit
tweendeck;gladora
tweet;cıvıldamak
tweeter;tweeter
tweezers;cımbız
twelfth;onikinci
twelve;on iki
twelvemonth;oniki ay
twentieth;yirminci
twenty;yirmi
twerk;twerk
twerp;ahmak
twice;iki defa
twice-told;bayat
twiddle one's thumbs;boş boş oturmak
twiddle;döndürmek
twig;dal
twilight airglow;alacakaranlık Gök Aydınlığı
twilight;alaca karanlık
twill;kabartma çizgili kumaş
twin axis;ikiz ekseni
twin cable;ikiz kablo
twin crystal;ikiz kristal
twin engine;ikiz motoru
twin feeder;ikiz besleyici
twin pump;ikiz pompa
twin tail;iki kuyruklu
twin;ikiz
twin-engined;çift ​​motorlu
twinborn;twinborn
twine;sicim
twing;Twing
twinge;sancı
twinkle;pırıltı
twinkling;pırıltı
twinning;eşleştirme
Twins;ikizler
twirl;burmak
twist around one's little finger;Kişinin küçük parmak çevresinde büküm
twist off;kapalı twist
twist sb's arm;büküm sb kolu
twist the knife;Bıçağı bük
twist;dönemeç
twisted;bükülmüş
twister;kasırga
twisting;kıvırma
twit;budala
twitch;seğirme
twitter;heyecan
two cylinder;iki silindirli
two pin;iki pim
two;iki
two-chamber system;İki odacıklı sistem
two-colour printing;iki renkli baskı
two-coloured;İki renkli
two-cycle;iki zamanlı
two-dimensional;iki boyutlu
two-edged;iki ucu keskin
two-faced;iki yüzlü
two-fold;iki kat
two-handed;iki elli
two-headed;İki başlı
two-legged;iki ayaklı
two-piece;iki parça
two-ply;iki katlı
two-point;iki noktalı
two-seater;iki kişilik araç
two-sided;iki yüzlü
two-stage;iki aşamalı
two-step;iki adım
two-storey;iki katlı
two-stroke;iki zamanlı
two-timer;İki zamanlayıcı
two-way cock;iki yönlü horoz
two-way communication;karşılıklı haberleşme
two-way;çift ​​yönlü
two-wheeled;İki tekerlekli
two-wire;İki telli
twofaced;twofaced
twosome;çift ​​kişilik dans
tycoon;zengin işadamı
tying;bağlama
tyke;sokak köpeği
tympanitis;ortakulak iltihabı
tympanum;kulak zarı
type bar;tipi bar
type metal;harf metali
type through;aracılığıyla yazın
type;tip
typecast;typecasting
typeface;harf karakteri
typescript;daktilo ile yazılmış yazı
typesetter;dizgici
typesetting machine;dizgi makinesi
typesetting;dizgi
typewrite;daktilo ile yazmak
typewriter ribbon;daktilo şeridi
typewriter;daktilo
typhoid bacillus;tifo basili
typhoid fever;Tifo
typhoid;tifo
typhoon;tayfun
typhus;tifüs
typical;tipik
typify;simgelemek
typist;daktilo
typographer;dizgici
typographic;dizgi
typographical error;yazım hatası
typographical;tipografik
typography;matbaacılık
typological;tipolojik
typology;tipoloji
tyramine;tiramin
tyrannic;zalim
tyrannize;zulmetmek
tyranny;zulüm
tyrant;tiran
tyre casing;lâstik kaplama
tyre chain;kar lâstiği
tyre iron;lastik demir
tyre pressure;lastik basıncı
tyre pump;lastik pompa
tyre;lastik
tyrian purple;mor Tyrian
tyro;acemi
tyrosinase;tirozinaz
tyrosine;tirosin
tzar;çar
Tzigane;Tzigane
U tube;U boru,
U-turn;Senin sıran
ubiquitous;her yerde birden bulunan
ubiquity;aynı anda her yerde bulunma
udder;meme
udometer;yağmurölçer
ugh;öf
uglify;çirkinleştirmek
ugliness;çirkinlik
ugly;çirkin
Uigur;Uygur
Ukraine;Ukrayna
Ukrainian;Ukrayna
ukulele;havai kitarası
ulcer;ülser
ulcerate;ülserleşmek
ulcerated;ülserli
ulceration;ülserleşme
ulcerous;ülserli
ullage;fire
ulna;dirsek kemiği
ulster;uzun ve bol kemerli palto
ulterior;gizli
ultimate analysis;nihai analiz
ultimate;nihai
ultimately;en sonunda
ultimatum;ültimatom
ultimo;geçen ay
ultra;ultra
ultra-;ultra-
ultracentrifuge;ultrasentrifüj
ultraconservative;aşırı muhafazakar
ultrafilter;ultrasüzgeç
ultrafiltration;ultrafiltrasyon
ultrahigh frequency;hiperfrekans
ultrahigh;ultra yüksek
ultraist;ultraist
ultramarine;lacivert
ultramicroscope;ultramicroscope
ultramodern;ultramodern
ultramontane;ultramontane
ultramundane;ultramundane
ultranational;ultranational
ultrashort wave;ultra dalga
ultrashort;ultrashort
ultrasonic communication;ultrasonik iletişim
ultrasonic detector;ultrasonik detektör
ultrasonic drill;ultrasonik matkap
ultrasonic soldering;ultrasonik lehim
ultrasonic wave;ultrasonik dalga
ultrasonic;ultrasonik
ultrasonics;ultrasonik bilimi
ultrasound;ultrason
ultraviolet filter;ultraviyole filtresi
ultraviolet lamp;ultraviyole lambası
ultraviolet light;morötesi ışık
ultraviolet radiation;morötesi radyasyon
ultraviolet rays;ultraviyole ışınlar
ultraviolet spectrophotometry;ultraviyole spektrofotometrisi
ultraviolet;morötesi
